,wallet,tx_count,total_sent_sol,avg_tx_value,median_tx_value,max_tx_value,avg_fee,total_fee,fee_ratio,avg_tx_interval,std_tx_interval,unique_destinations,dest_entropy,token_diversity,mint_count,mint_ratio,type_address-lookup-table_createLookupTable,type_spl-token_approveChecked,type_system_transfer,type_address-lookup-table_extendLookupTable,type_spl-token_burn,type_spl-token_closeAccount,type_spl-token_approve,type_unknown,type_system_advanceNonce,type_system_createAccount,type_system_createAccountWithSeed,type_spl-associated-token-account_createIdempotent,type_spl-token_transfer,type_spl-token_transferChecked,type_spl-associated-token-account_create,is_whale
2818,DAvq8asizt1dUDxmsuYwj1VHUiqubqkobeNMPXnxbJ3P,1,900.0,900.0,900.0,900.0,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2602,8yvHN3WMyVWe7BNFscUAJhwdW5M3AfdY7if7PofTUJjg,1,400.01,400.01,400.01,400.01,505000.0,505000,505000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3192,J48PfrV9TFqA53ocqEuk37EJRCrfwc9Fos8GaWJThqZW,1,200.0,200.0,200.0,200.0,1032605.0,1032605,1032605.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1565,GxKVSNu4p9Qnp5H9Ar5iMSWHQLcF7vouKXLvgAGBm6Sq,1,186.367292159,186.367292159,186.367292159,186.367292159,1434543.0,1434543,1434543.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
816,Rt6yjaXEgo7EgjRXhuiEWBtakqSBQ6fBBYLs2oKYQ3p,1,186.366688159,186.366688159,186.366688159,186.366688159,605000.0,605000,605000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
656,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,3,172.4390547,57.4796849,1.184913,171.1434417,710000.0,2130000,710000.0,18.5,13.5,3,1.0986122886681096,0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
29,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,47,163.12201322,3.4706811323404256,1.0412661,62.038889,3919936.170212766,184237000,3919936.170212766,641717.2826086957,4304757.727698666,47,3.850147601710058,0,0,0.0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1
883,5VCwKtCXgCJ6kit5FybXjvriW3xELsFDhYrPSqtJNmcD,21,144.45812414,6.878958292380953,0.45148905,42.53581353,4005000.0,84105000,4005000.0,4.15,5.88451357377991,21,3.0445224377234217,0,0,0.0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1
3822,HeBiD5qxwbaLXP9WxNtTca7hT9czsXwz2rbi4ugtmyzd,1,122.0,122.0,122.0,122.0,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
663,GJRs4FwHtemZ5ZE9x3FNvJ8TMwitKTh21yxdRPqn7npE,16,108.504141877,6.7815088673125,0.1923195795,90.0,205000.0,3280000,205000.0,6.0,6.762642481555071,16,2.772588722239781,0,0,0.0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1
4078,BTLG71P7eH7hxT4MMv1DUaSkH6G2aYp7hRKqocjeYrSy,2,99.1,49.55,49.55,99.0,305000.0,610000,305000.0,0.0,0.0,2,0.6931471805599453,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2581,7c1C4P8pEfjMhkRZNvCwMSUHUPi9GsE7wYLVKEraTh8N,1,99.0,99.0,99.0,99.0,105000.0,105000,105000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1920,DUnDqgnEAa1QMyQUEDVoTNt7hSF1gEkHsv8MFTcEWLEA,1,90.0,90.0,90.0,90.0,1208430.0,1208430,1208430.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3775,PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,1,77.799235045,77.799235045,77.799235045,77.799235045,10200.0,10200,10200.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3309,9B3iTjJbSwgBYNq9uRZyRdh6WD7ugnCDBJDczxtP7W1K,1,68.843170528,68.843170528,68.843170528,68.843170528,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2627,EafZStLJA6HkaTbFmFVWdAcN1LMYnNj9oos6qmx1NRTA,2,53.90009,26.950045,26.950045,53.9,5000.0,10000,5000.0,0.0,0.0,2,0.6931471805599453,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3673,4YQGTJdHJZTHN42d5T6nSpGU3i3zkiQkgQukkngi1hG8,13,53.3274,4.102107692307692,4.0098,8.3098,105000.0,1365000,105000.0,1.4166666666666667,1.552328000849763,13,2.564949357461537,0,0,0.0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1
669,3HvzU9NjPHGPJRiKjhWtzJj2tpUEYvnd5Gd9BQJ2CY14,18,51.192942818,2.8440523787777776,0.0293960045,50.663850671,274555.3333333333,4941996,274555.3333333333,5.294117647058823,4.662298169513967,7,1.831020481113516,0,0,0.0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1
4116,Dptu1Eo6jYDFihnRWVU2ZFan1ps4rAsxELkCcREn3Wzy,1,47.265487238,47.265487238,47.265487238,47.265487238,986262.0,986262,986262.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2361,Em5jJgESj3zbXLtcuE2qeTAkfjiE8dLXgbuPwd2ayPLy,1,40.0,40.0,40.0,40.0,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3075,GggVnV9mgfps3jPGRLdPdjAAo8HQwePs3dupXLCMG3se,1,36.613121631,36.613121631,36.613121631,36.613121631,505000.0,505000,505000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
497,GSoJY1RJ2m4VGS6QagTNxfddxDTEE4wZxh75JxF4SZXb,1,36.0,36.0,36.0,36.0,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
532,AC7XEyKGiyScRSqzRwHxGL8tRTeJ1CEJ54ogdkP5xBA9,1,33.576209983,33.576209983,33.576209983,33.576209983,10017.0,10017,10017.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3543,3m66qaQxud4feHs5VpZbN97qrxfdtxWje1TQrxNncQTv,1,31.371583121,31.371583121,31.371583121,31.371583121,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4474,6n2TK3X5igbMWuyKtVEwRKj6ZHqbcmy8xBKZk9RBad85,1,31.0,31.0,31.0,31.0,964315.0,964315,964315.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
395,ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,8,29.917574,3.73969675,0.709,16.578,4693281.25,37546250,4693281.25,4208280.0,10308111.342134448,8,2.079441541679836,0,0,0.0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
515,83VrzzZBmRCfQmJuSHCP9pjjHp5hzYxBFPXV8ZssrcaP,1,28.234375293,28.234375293,28.234375293,28.234375293,5030.0,5030,5030.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4171,AtrQma83fa1mSyDyDmubkkcTiDJBcuWwCRYXnq8ijTiT,1,25.0,25.0,25.0,25.0,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2707,J9UXE9QamN6x5Vu54FBu1YcQcYDZFQwpdTyATbmD6vQB,1,24.9473952,24.9473952,24.9473952,24.9473952,605000.0,605000,605000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2356,88Z3YLwjDMbCp7vnduSNmnK92zPWfMxdzatWSkZiuNeK,1,22.0,22.0,22.0,22.0,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3188,7ks326H4LbMVaUC8nW5FpC5EoAf5eK5pf4Dsx4HDQLpq,1,21.795460165,21.795460165,21.795460165,21.795460165,4856996.0,4856996,4856996.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
271,H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS,11,20.828506136,1.8935005578181816,0.204733237,10.0,169181.81818181818,1861000,169181.81818181818,2945796.4,8837357.533337919,11,2.3978952727983707,0,0,0.0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
2501,HNPEazrxtkHvo9BkovCHL2SkbvQFcrRpJ2zwBvXEW8qm,1,20.0,20.0,20.0,20.0,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1253,DQRDk2h7RgDnpJRddx6E1dnCgzWRLyMNa9viGxu7T91L,1,20.0,20.0,20.0,20.0,210000.0,210000,210000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3761,Cv6kFL79hWuvaqHNvQ5bnAF8WQPKoreMBL7Gin2fWzVU,1,19.999999985,19.999999985,19.999999985,19.999999985,4010001.0,4010001,4010001.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1252,AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,12,17.21784538,1.434820448333333,0.2991905,9.98,410000.0,4920000,410000.0,3.636363636363636,6.636986272161447,12,2.484906649788001,0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1
1654,FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,6,16.84477124,2.8074618733333336,0.26418,11.16052634,105000.0,630000,105000.0,11.2,11.496086290559932,6,1.791759469228055,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3000,23s4NnPnM38EuYr6wXBHmmn3J5eJWL9FYcuxS78f2qi3,3,15.001825925,5.000608641666667,0.00155,14.99999998,523333.6666666667,1570001,523333.6666666667,11.5,11.5,3,1.0986122886681096,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
3645,5s4fyLGYUCDLwcH2EVCgT41JjU23ivoUHkmvsDCeUqVS,1,15.0,15.0,15.0,15.0,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4250,2m6HpACqiduFaaQobtBcfFLjdcRKpV7LuVs3XSdDd6T9,1,15.0,15.0,15.0,15.0,1670572.0,1670572,1670572.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1116,2GPipRZKqMSnSVBNh95TFTFpgisEzbhmmGXmEwNMQW1m,1,13.9998895,13.9998895,13.9998895,13.9998895,113502.0,113502,113502.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4478,DQ5JWbJyWdJeyBxZuuyu36sUBud6L6wo3aN1QC1bRmsR,1,13.9072529,13.9072529,13.9072529,13.9072529,105000.0,105000,105000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
992,H7X4sEVSkkxxseoDDATRrEk8ASzJb1dKfHeg9euzZQGZ,42,13.717499998,0.3266071428095238,0.06905,1.3432,5400.0,226800,5400.0,2.0,3.987786231029723,28,3.166166624273187,0,0,0.0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1
4381,7mMThGi3Qq8n2CV4c5Vb35SeWxfbmKbbqyCzrZr72epM,1,13.0,13.0,13.0,13.0,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2170,9QhszfThF5cCudY5KzSTtTSHEtP4aZMG3g3X2ZGbLFVi,1,12.7,12.7,12.7,12.7,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
